
---------- Begin Simulation Statistics ----------
simSeconds                                   0.018005                       # Number of seconds simulated (Second)
simTicks                                  18004527000                       # Number of ticks simulated (Tick)
finalTick                                 18004527000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    541.77                       # Real time elapsed on the host (Second)
hostTickRate                                 33232991                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     686972                       # Number of bytes of host memory used (Byte)
simInsts                                     11687770                       # Number of instructions simulated (Count)
simOps                                       17602273                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    21573                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      32490                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         18004528                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.540459                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.649157                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        18475553                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    75853                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       18090079                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    107                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               949130                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2072185                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               26659                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17989425                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.005595                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.364496                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9287036     51.62%     51.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3887269     21.61%     73.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2137086     11.88%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1543909      8.58%     93.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    522533      2.90%     96.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    495474      2.75%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     84104      0.47%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     31327      0.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       687      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17989425                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8450      2.61%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.61% # attempts to use FU when none available (Count)
