
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000048                       # Number of seconds simulated (Second)
simTicks                                     47835000                       # Number of ticks simulated (Tick)
finalTick                                    47835000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.07                       # Real time elapsed on the host (Second)
hostTickRate                                 44613670                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687988                       # Number of bytes of host memory used (Byte)
simInsts                                         9635                       # Number of instructions simulated (Count)
simOps                                          19196                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     8973                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      17874                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            47836                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.964816                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.201417                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           33946                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      117                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          29760                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    108                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                14864                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             25284                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  69                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               32508                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.915467                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.864811                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     23972     73.74%     73.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      1951      6.00%     79.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      1500      4.61%     84.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      1155      3.55%     87.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      1138      3.50%     91.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1068      3.29%     94.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       899      2.77%     97.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       542      1.67%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       283      0.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 32508                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     263     77.35%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     77.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     77.35% # attempts to use FU when none available (Count)
