
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000088                       # Number of seconds simulated (Second)
simTicks                                     87692000                       # Number of ticks simulated (Tick)
finalTick                                    87692000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.63                       # Real time elapsed on the host (Second)
hostTickRate                                 15564868                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674964                       # Number of bytes of host memory used (Byte)
simInsts                                       212183                       # Number of instructions simulated (Count)
simOps                                         212183                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    37657                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      37657                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            87693                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.413289                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.419612                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          221130                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         218019                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     57                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 8953                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              6020                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               86097                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.532249                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.851071                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     11473     13.33%     13.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     19247     22.36%     35.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     17810     20.69%     56.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      9953     11.56%     67.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     12533     14.56%     82.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      9155     10.63%     93.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4341      5.04%     98.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1340      1.56%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       245      0.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 86097                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      14      0.18%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2768     35.67%     35.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     768      9.90%     45.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     45.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     45.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     45.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     45.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     45.74% # attempts to use FU when none available (Count)
