
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000621                       # Number of seconds simulated (Second)
simTicks                                    621395000                       # Number of ticks simulated (Tick)
finalTick                                   621395000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     40.47                       # Real time elapsed on the host (Second)
hostTickRate                                 15352882                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674968                       # Number of bytes of host memory used (Byte)
simInsts                                      1597756                       # Number of instructions simulated (Count)
simOps                                        1597756                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    39475                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      39475                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           621396                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.388918                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.571236                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1623013                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        8                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1614941                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     30                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                25264                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16212                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              619658                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.606181                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.757389                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     55260      8.92%      8.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    146713     23.68%     32.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    138654     22.38%     54.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     79532     12.83%     67.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     95176     15.36%     83.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     65527     10.57%     93.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     28640      4.62%     98.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      9103      1.47%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1053      0.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                619658                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      15      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  11242     25.35%     25.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    3720      8.39%     33.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     33.77% # attempts to use FU when none available (Count)
