
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000282                       # Number of seconds simulated (Second)
simTicks                                    282202000                       # Number of ticks simulated (Tick)
finalTick                                   282202000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     11.55                       # Real time elapsed on the host (Second)
hostTickRate                                 24427361                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     686968                       # Number of bytes of host memory used (Byte)
simInsts                                       229512                       # Number of instructions simulated (Count)
simOps                                         366717                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    19861                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      31734                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           282203                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.229578                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.813287                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          437675                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4906                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         410586                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    114                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                75861                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            150829                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1792                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              267575                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.534471                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.691304                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     93806     35.06%     35.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     74421     27.81%     62.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     33288     12.44%     75.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     24600      9.19%     84.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     24461      9.14%     93.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7421      2.77%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      6662      2.49%     98.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2460      0.92%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       456      0.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                267575                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     768      9.00%      9.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      9.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      9.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      9.00% # attempts to use FU when none available (Count)
