
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000129                       # Number of seconds simulated (Second)
simTicks                                    129071000                       # Number of ticks simulated (Tick)
finalTick                                   129071000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.46                       # Real time elapsed on the host (Second)
hostTickRate                                 28923908                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     719532                       # Number of bytes of host memory used (Byte)
simInsts                                       126678                       # Number of instructions simulated (Count)
simOps                                         140002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28384                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      31368                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           129072                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.018890                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.981460                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          147662                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1050                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         145861                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    122                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 8709                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              6372                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  40                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              118677                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.229059                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.945700                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     70774     59.64%     59.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     13953     11.76%     71.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      9480      7.99%     79.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6998      5.90%     85.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      6812      5.74%     91.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4128      3.48%     94.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      3152      2.66%     97.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1886      1.59%     98.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1494      1.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                118677                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     156      4.59%      4.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      5      0.15%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      4.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    5      0.15%      4.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      4.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      4.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      4.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      1      0.03%      4.92% # attempts to use FU when none available (Count)
