
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002927                       # Number of seconds simulated (Second)
simTicks                                   2927160000                       # Number of ticks simulated (Tick)
finalTick                                  2927160000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    148.84                       # Real time elapsed on the host (Second)
hostTickRate                                 19666459                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674972                       # Number of bytes of host memory used (Byte)
simInsts                                      5404754                       # Number of instructions simulated (Count)
simOps                                        5404754                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36312                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      36312                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2927161                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.541590                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.846415                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6074931                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       51                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5757885                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8202                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               670227                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            538761                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   8                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2908996                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.979338                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.143058                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1120751     38.53%     38.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    392348     13.49%     52.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    375742     12.92%     64.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    298937     10.28%     75.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    268521      9.23%     84.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    218368      7.51%     91.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    134150      4.61%     96.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     55014      1.89%     98.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     45165      1.55%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2908996                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     429      0.37%      0.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  11731     10.12%     10.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    3719      3.21%     13.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.70% # attempts to use FU when none available (Count)
