
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000058                       # Number of seconds simulated (Second)
simTicks                                     57790000                       # Number of ticks simulated (Tick)
finalTick                                    57790000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.85                       # Real time elapsed on the host (Second)
hostTickRate                                 20251506                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674968                       # Number of bytes of host memory used (Byte)
simInsts                                        96910                       # Number of instructions simulated (Count)
simOps                                          96910                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    33951                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33949                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            57791                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.596337                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.676905                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          110908                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         104187                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    202                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                14004                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             11101                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               55369                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.881685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.156523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     23580     42.59%     42.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      6694     12.09%     54.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      6413     11.58%     66.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      5390      9.73%     75.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5177      9.35%     85.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      3783      6.83%     92.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      2380      4.30%     96.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1022      1.85%     98.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       930      1.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 55369                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      18      0.62%      0.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    673     23.04%     23.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     143      4.90%     28.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     28.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     28.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     28.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     28.55% # attempts to use FU when none available (Count)
