
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000151                       # Number of seconds simulated (Second)
simTicks                                    151141000                       # Number of ticks simulated (Tick)
finalTick                                   151141000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.42                       # Real time elapsed on the host (Second)
hostTickRate                                 23558468                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     686976                       # Number of bytes of host memory used (Byte)
simInsts                                       115486                       # Number of instructions simulated (Count)
simOps                                         194048                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    17981                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      30212                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           151142                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.308747                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.764089                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          227125                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1292                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         216622                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    179                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                34366                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             62781                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 482                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              134136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.614943                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.066029                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     62417     46.53%     46.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     20854     15.55%     62.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     14342     10.69%     72.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     10946      8.16%     80.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      9723      7.25%     88.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      6391      4.76%     92.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4624      3.45%     96.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3057      2.28%     98.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1782      1.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                134136                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1557     45.21%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     45.21% # attempts to use FU when none available (Count)
